Installs by region
Date,Armenia,India,Israel,United States
7/25/26,0,0,0,1
7/26/26,0,0,0,2
7/27/26,1,0,0,1
7/28/26,0,0,0,1
7/29/26,0,0,0,1
7/30/26,0,0,0,1
7/31/26,0,0,0,1
8/1/26,0,0,0,2
8/2/26,0,0,0,3
8/3/26,0,0,0,1
8/4/26,0,0,0,1
8/5/26,0,0,0,2
8/6/26,0,0,0,2
8/7/26,0,0,0,1
8/8/26,0,0,0,1
8/9/26,0,0,0,2
8/10/26,0,0,0,1
8/11/26,0,0,0,1
8/12/26,0,0,0,2
8/13/26,0,0,0,1
8/14/26,0,0,0,0
8/15/26,0,0,0,1
8/16/26,0,0,0,2
8/17/26,0,0,0,2
8/18/26,0,0,0,0
8/19/26,0,0,0,1
8/20/26,0,0,0,0
8/21/26,0,0,0,2
8/22/26,0,1,1,1
8/23/26,0,0,0,1
